Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2023-05-20 20:26:13;"Swimming";"Swimming";1;;;;20;;0;"";""
2023-05-15 19:11:58;"Full body workout";"Bicep Curl (Dumbbell)";1;7.5;kg;20;;;0;"";""
2023-05-15 19:11:58;"Full body workout";"Chest Press (Machine)";1;90;kg;12;;;0;"";
2023-05-15 00:15:21;"Swimming";"Swimming";1;;;;12;;0;"";""
2023-05-08 19:55:34;"Chest and triceps";"Bench Press (Barbell)";1;60;kg;10;;;0;"";""
2023-05-08 19:55:34;"Chest and triceps";"Bench Press (Barbell)";2;70;kg;10;;;0;;
2023-05-08 19:55:34;"Chest and triceps";"Bench Press (Barbell)";3;75;kg;6;;;0;;
2023-05-08 19:55:34;"Chest and triceps";"Incline Bench Press (Dumbbell)";1;10;kg;20;;;0;"";
2023-05-08 19:55:34;"Chest and triceps";"Incline Bench Press (Dumbbell)";2;17.5;kg;15;;;0;;
2023-05-08 19:55:34;"Chest and triceps";"Incline Bench Press (Dumbbell)";3;22.5;kg;15;;;0;;
2023-05-08 19:55:34;"Chest and triceps";"Cable Crossover";1;7.5;kg;15;;;0;"";
2023-05-08 19:55:34;"Chest and triceps";"Cable Crossover";2;5;kg;15;;;0;;
2023-05-06 20:12:33;"Bicep finder 1";"Strict + Cheat curls";1;13.75;kg;15;;;0;"";""
2023-05-06 20:12:33;"Bicep finder 1";"Strict + Cheat curls";2;17.5;kg;15;;;0;;
2023-05-06 20:12:33;"Bicep finder 1";"Strict + Cheat curls";3;17.5;kg;15;;;0;;
2023-05-06 20:12:33;"Bicep finder 1";"Digit top down curl";1;10;kg;15;;;0;"";
2023-05-06 20:12:33;"Bicep finder 1";"Digit top down curl";2;12.5;kg;15;;;0;;
2023-05-06 20:12:33;"Bicep finder 1";"Reverse drag curl ";1;7.5;kg;15;;;0;"";
2023-05-06 20:12:33;"Bicep finder 1";"Reverse drag curl ";2;12.5;kg;15;;;0;;
2023-05-06 20:12:33;"Bicep finder 1";"Waiter curls";1;10;kg;15;;;0;"";
2023-05-06 20:12:33;"Bicep finder 1";"Waiter curls";2;12.5;kg;15;;;0;;
2023-05-06 20:12:33;"Bicep finder 1";"Hammer Curl (Dumbbell)";1;7.5;kg;15;;;0;"";
2023-05-06 20:12:33;"Bicep finder 1";"Hammer Curl (Dumbbell)";2;12.5;kg;15;;;0;;
2023-04-30 19:55:00;"💯 Hundred legs workout";"Glute Ham Raise";1;7.5;kg;25;;;0;"";""
2023-04-30 19:55:00;"💯 Hundred legs workout";"Glute Ham Raise";2;17.5;kg;12;;;0;;
2023-04-30 19:55:00;"💯 Hundred legs workout";"Leg Extension (Machine)";1;35;kg;20;;;0;"";
2023-04-30 19:55:00;"💯 Hundred legs workout";"Leg Extension (Machine)";2;56;kg;15;;;0;;
2023-04-30 19:55:00;"💯 Hundred legs workout";"Leg Extension (Machine)";3;63;kg;12;;;0;;
2023-04-30 19:55:00;"💯 Hundred legs workout";"Lying Leg Curl (Machine)";1;42;kg;8;;;0;"";
2023-04-30 19:55:00;"💯 Hundred legs workout";"Lying Leg Curl (Machine)";2;49;kg;12;;;0;;
2023-04-30 19:55:00;"💯 Hundred legs workout";"Squat (Smith Machine)";1;40;kg;15;;;0;"";
2023-04-30 19:55:00;"💯 Hundred legs workout";"Squat (Smith Machine)";2;70;kg;12;;;0;;
2023-04-30 19:55:00;"💯 Hundred legs workout";"Squat (Smith Machine)";3;100;kg;7;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Delt stretch tri-set";1;5;kg;21;;;0;"";""
2023-04-29 19:19:13;"Shoulder finder 1";"Delt stretch tri-set";2;5;kg;21;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Delt stretch tri-set";3;2.5;kg;30;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Reverse Fly (Cable)";1;5;kg;15;;;0;"";
2023-04-29 19:19:13;"Shoulder finder 1";"Reverse Fly (Cable)";2;5;kg;15;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Reverse Fly (Cable)";3;5;kg;15;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Lateral Raise (Dumbbell)";1;5;kg;20;;;0;"";
2023-04-29 19:19:13;"Shoulder finder 1";"Lateral Raise (Dumbbell)";2;7.5;kg;15;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Lateral Raise (Dumbbell)";3;5;kg;20;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Overhead Press (Barbell)";1;40;kg;15;;;0;"";
2023-04-29 19:19:13;"Shoulder finder 1";"Overhead Press (Barbell)";2;50;kg;12;;;0;;
2023-04-29 19:19:13;"Shoulder finder 1";"Overhead Press (Barbell)";3;60;kg;10;;;0;;
